,Date,D-14,D-13,D-12,D-11,D-10,D-09,D-08,D-07,D-06,D-05,D-04,D-03,D-02,D-01
0,2020-11-01,-0.8400906615990357,-2.0001283604463906,-2.212227001027828,-2.335226986930184,-1.3534782325201111,-0.2591180071916896,-0.059391092508928614,-0.18648618743476825,-0.24691589770738506,-0.17899693169936945,-0.15886998481271955,-0.19348134571670617,-0.18749310428973978,-0.1383924170953141
1,2020-11-02,-3.2814292750687613,-2.853046295214209,-2.6781704080188717,-1.4948944785504494,-0.26518144351635115,-0.010415683536495074,-0.15188823951653804,-0.22392427531705722,-0.15363549639030905,-0.12977631088547759,-0.1603026211374202,-0.1475059904294102,-0.1008016527225157,0.03221386451786401
2,2020-11-03,-2.9972568403114908,-2.9951287921523293,-1.6819547948253408,-0.27359489538358844,0.06144484723451165,-0.09285630820529601,-0.17434636574574175,-0.09757903454782547,-0.07068271725028205,-0.09448268912747794,-0.07821620717103751,-0.03737182578069284,0.10134114385984413,0.1476647746141367
3,2020-11-04,-3.6085192191872446,-1.6126783266886564,-0.28745934602879186,0.16190562731191446,-0.0050436845592557724,-0.09771690545632013,-0.011216817304660823,0.019919593679797162,0.0030902871965807484,0.02614041948561842,0.07854557326983895,0.22816140962510642,0.3284101683288234,0.1274342586763664
4,2020-11-05,-0.36691877971332215,0.1082786452652718,-0.04814587637954489,-0.17673658428924174,-0.24757278757462012,-0.1714512716571159,-0.14704932723246827,-0.15225745741732116,-0.13212871871235965,-0.08024088243978644,0.06036635540145884,0.12068624269563108,0.015003727119432767,-0.27475445372516627
5,2020-11-06,0.09566045754112157,-0.19696795862522343,-0.3399261294919949,-0.3959485078931994,-0.33204738893623104,-0.31411030120384675,-0.31256619686689074,-0.29441061493627263,-0.2460688331976097,-0.11920659851176484,-0.06666575305956148,-0.1454612932860822,-0.38732736950469876,-0.23462486931459084
6,2020-11-07,-0.4118660870674701,-0.4474070876690421,-0.4266162257358409,-0.36336856597442885,-0.34835416220755255,-0.3421342337350321,-0.3234333776940873,-0.2700258725624759,-0.13279741892381453,-0.07978051375039061,-0.16930344450983045,-0.3847023586326472,-0.38017668358619766,-0.06979169529910693
7,2020-11-08,-0.4540567471052877,-0.42072918851756913,-0.35126568815683007,-0.3381203458424407,-0.32844615045054437,-0.3056151462112446,-0.24277164372114146,-0.08211478331432626,-0.02411886563655226,-0.12945749027484757,-0.3849374475307176,-0.35768997328857577,-0.0862455597928799,0.08086653196441601
8,2020-11-09,-0.451072590292577,-0.38197147470030096,-0.3893629866326335,-0.37835031542802205,-0.35287126541742225,-0.28673446415041076,-0.11453016799534536,-0.05684399549625185,-0.16774089772784223,-0.43851347778038724,-0.4076088709277123,-0.19833888723281398,0.05120137539455443,0.08656602797411142
9,2020-11-10,-0.386600833985186,-0.42568442021241193,-0.42641385219880285,-0.40045325335684445,-0.33061774043816067,-0.14382649740840744,-0.08735306435156377,-0.20161532374160956,-0.48997947850784074,-0.4538552783008479,-0.22660504887120367,-0.0123822918816547,0.08833002912280657,-0.04865665843783157
10,2020-11-11,-0.5339092480439876,-0.5195706438011195,-0.48784402818580547,-0.4213743451183013,-0.2319295380862316,-0.17916996014728784,-0.28786496152138674,-0.571780306433721,-0.5331416436834349,-0.3081125979002837,-0.09305255242609003,-0.003613612910452624,-0.08402309189326405,-0.07989189688216165
11,2020-11-12,-0.4985984161902411,-0.4608868731424287,-0.3950640277191222,-0.1625815513130004,-0.10207722499416047,-0.22696030472296116,-0.5625489555356253,-0.5153719049055255,-0.24635274231459173,0.013606741293685635,0.128865273422204,0.03437591243710671,-0.020208980300806863,0.10628986011656075
12,2020-11-13,-0.37654052977783076,-0.3023165450986384,-0.02489303068903071,0.04914783255752942,-0.10303421402419354,-0.5187863258743233,-0.462263803620618,-0.12064095115823134,0.21199834462667774,0.3742823368858288,0.23294462264891005,0.19752032272613976,0.30368658461453074,0.22058314340835133
13,2020-11-14,-0.19514391712757048,0.1822533692699494,0.18494501738120234,0.005878300429907459,-0.4802682224016642,-0.41930858047196234,-0.00432967862977018,0.40537712664341446,0.6220537844337398,0.4227539827967866,0.3684614960949058,0.4697406687084832,0.47268334896756176,0.11649762962287259
